Timestamp,xAxis,yAxis,zAxis
1715609501.9143484,340,393,321
1715609501.9143484,340,393,320
1715609501.9143484,340,393,320
1715609501.9178615,339,393,320
1715609501.9178615,340,394,320
1715609501.9188614,340,394,320
1715609501.9188614,340,394,321
1715609501.921862,340,394,320
1715609501.9228618,340,394,320
1715609501.9228618,340,394,321
1715609501.9228618,339,393,320
1715609501.9263692,339,394,320
1715609501.9263692,339,394,321
1715609501.9273756,340,394,321
1715609501.9273756,340,394,321
1715609501.9303763,340,394,321
1715609501.9303763,339,393,321
1715609501.9313753,340,393,321
1715609501.9343765,340,393,321
1715609501.9343765,340,394,322
1715609501.935376,340,393,321
1715609501.935376,340,393,321
1715609501.9389515,340,393,321
1715609501.9391818,339,393,321
1715609501.9391818,341,394,320
1715609501.9391818,339,393,320
1715609501.943053,339,393,320
1715609501.943053,340,394,320
1715609501.943053,340,394,320
1715609501.947123,340,393,321
1715609501.947123,339,394,321
1715609501.947123,339,393,321
1715609501.947123,339,394,320
1715609501.9508681,340,394,320
1715609501.9508681,339,394,320
1715609501.951816,340,393,321
1715609501.951816,340,393,320
1715609501.9547844,340,393,321
1715609501.9547844,340,394,321
1715609501.9547844,339,394,321
1715609501.9595828,340,394,321
1715609501.9595828,339,394,320
1715609501.9595828,339,394,321
1715609501.9595828,339,394,320
1715609501.9635682,340,394,320
1715609501.9635682,339,394,320
1715609501.9635682,340,394,321
1715609501.964342,340,394,320
1715609501.9675412,339,394,320
1715609501.9675412,339,394,320
1715609501.9685314,340,393,320
1715609501.9685314,340,393,320
1715609501.971865,340,393,321
1715609501.971865,339,393,321
1715609501.971865,340,394,321
1715609501.9748378,340,394,321
1715609501.9748378,339,393,321
1715609501.9765053,340,394,321
1715609501.9766214,340,394,321
1715609501.980143,340,393,320
1715609501.980143,340,394,320
1715609501.980143,339,394,320
1715609501.980143,340,394,321
1715609501.984316,339,394,321
1715609501.984316,339,394,321
1715609501.984316,340,394,321
1715609501.988019,339,394,321
1715609501.988019,339,394,320
1715609501.988019,339,393,321
1715609501.989046,339,393,321
1715609501.9925492,340,393,321
1715609501.9925492,339,393,320
1715609501.9925492,339,393,320
1715609501.9925492,340,394,320
1715609501.9965143,340,394,321
1715609501.9965143,339,394,321
1715609501.997081,340,394,320
1715609502.0006983,340,393,321
1715609502.0006983,339,394,321
1715609502.0006983,339,394,321
1715609502.0006983,339,394,320
1715609502.004816,339,393,320
1715609502.004816,339,393,320
1715609502.004816,339,394,320
1715609502.004816,340,394,320
1715609502.0087795,340,394,320
1715609502.0087795,340,393,321
1715609502.0087795,340,394,321
1715609502.0087795,340,393,320
1715609502.0127819,341,393,321
1715609502.0127819,338,394,324
1715609502.0127819,337,394,320
1715609502.016637,343,394,319
1715609502.0175285,342,392,320
1715609502.0185292,338,393,320
1715609502.0185292,338,396,322
1715609502.0207741,338,396,323
1715609502.0215263,339,394,321
1715609502.0215263,343,391,318
1715609502.0215263,342,392,318
1715609502.0253153,339,393,318
1715609502.0253153,338,396,326
1715609502.0253153,335,396,325
1715609502.0286176,340,392,320
1715609502.0295966,344,391,317
1715609502.0295966,344,392,316
1715609502.0295966,340,394,320
1715609502.0329099,336,397,326
1715609502.0339406,335,396,327
1715609502.0339406,339,393,322
1715609502.0349247,345,390,316
1715609502.0374663,346,391,313
1715609502.0374663,341,395,320
1715609502.0374663,334,397,325
1715609502.038437,332,397,329
1715609502.0414436,337,394,326
1715609502.0414436,342,390,315
1715609502.0414436,349,390,311
1715609502.045444,347,392,313
1715609502.045444,339,397,326
1715609502.045444,329,397,333
1715609502.045444,330,396,330
1715609502.0489633,340,392,318
1715609502.0499685,351,390,310
1715609502.0499685,350,390,309
1715609502.0499685,341,395,325
1715609502.0529654,329,397,331
1715609502.0539646,329,396,331
1715609502.0539646,339,392,318
1715609502.057478,350,390,310
1715609502.057478,349,390,309
1715609502.057478,341,396,324
1715609502.0584767,329,397,331
1715609502.0615582,329,396,331
1715609502.0615582,338,393,319
1715609502.0615582,350,390,310
1715609502.0625582,349,390,309
1715609502.0655627,341,395,324
1715609502.0655627,329,396,330
1715609502.0665593,329,396,332
1715609502.0691006,338,392,320
1715609502.0701,351,391,311
1715609502.0701,350,390,309
1715609502.0701,342,395,323
1715609502.0741003,330,396,330
1715609502.0741003,329,396,332
1715609502.0741003,338,393,319
1715609502.0741003,350,390,310
1715609502.0782511,350,390,309
1715609502.0782511,342,395,323
1715609502.0782511,330,397,331
1715609502.0782511,329,396,332
1715609502.0822532,337,393,320
1715609502.0822532,350,390,310
1715609502.0822532,350,391,309
1715609502.0862534,342,395,322
1715609502.0862534,330,396,330
1715609502.086766,329,396,333
1715609502.086766,337,393,321
1715609502.0897753,349,390,310
1715609502.0907755,350,390,309
1715609502.0907755,342,395,322
1715609502.0907755,330,396,330
1715609502.0947745,329,396,332
1715609502.0947745,337,393,322
1715609502.0947745,349,390,311
1715609502.0983,350,390,309
1715609502.0983,342,395,322
1715609502.0992994,330,397,330
1715609502.0992994,328,397,333
